tree_id,health,spc_common,borough
2336382,Fair,American beech,Bronx
92425696,Fair,American elm,Bronx
8438648,Fair,American hophornbeam,Bronx
19842864,Fair,American hornbeam,Bronx
556389,Fair,American larch,Bronx
104138874,Fair,American linden,Bronx
1704171,Fair,Amur cork tree,Bronx
19236666,Fair,Amur maackia,Bronx
20435494,Fair,Amur maple,Bronx
112098,Fair,arborvitae,Bronx
19442316,Fair,ash,Bronx
783313,Fair,Atlantic white cedar,Bronx
3548941,Fair,bald cypress,Bronx
324705,Fair,bigtooth aspen,Bronx
781572,Fair,black cherry,Bronx
970672,Fair,blackgum,Bronx
18368394,Fair,black locust,Bronx
185444,Fair,black maple,Bronx
5001018,Fair,black oak,Bronx
2330074,Fair,black walnut,Bronx
6172103,Fair,bur oak,Bronx
147391311,Fair,Callery pear,Bronx
7636099,Fair,catalpa,Bronx
170942707,Fair,cherry,Bronx
511082,Fair,Chinese chestnut,Bronx
52824215,Fair,Chinese elm,Bronx
5915666,Fair,Chinese tree lilac,Bronx
2600568,Fair,cockspur hawthorn,Bronx
45156497,Fair,common hackberry,Bronx
2188947,Fair,Cornelian cherry,Bronx
21475762,Fair,crab apple,Bronx
1977132,Fair,crepe myrtle,Bronx
12356014,Fair,crimson king maple,Bronx
324434,Fair,cucumber magnolia,Bronx
27158188,Fair,dawn redwood,Bronx
3530974,Fair,eastern cottonwood,Bronx
183934,Fair,eastern hemlock,Bronx
27137289,Fair,eastern redbud,Bronx
2415253,Fair,eastern redcedar,Bronx
4988256,Fair,empress tree,Bronx
7287608,Fair,English oak,Bronx
360020,Fair,European alder,Bronx
1807050,Fair,European beech,Bronx
28584287,Fair,European hornbeam,Bronx
7083116,Fair,flowering dogwood,Bronx
101796912,Fair,ginkgo,Bronx
24303631,Fair,golden raintree,Bronx
87177028,Fair,green ash,Bronx
6662203,Fair,hardy rubber tree,Bronx
27592491,Fair,hawthorn,Bronx
29915482,Fair,hedge maple,Bronx
263068,Fair,holly,Bronx
302729814,Fair,honeylocust,Bronx
8398181,Fair,horse chestnut,Bronx
2178618,Fair,Japanese hornbeam,Bronx
6798876,Fair,Japanese maple,Bronx
1648335,Fair,Japanese snowbell,Bronx
28735998,Fair,Japanese tree lilac,Bronx
164836924,Fair,Japanese zelkova,Bronx
